fish_id	month	origin	length	mass	body_depth	kidney_depth	KB_ratio	qPCR_ddCt	qPCR_sqrt	haematocrit	leukocrit	lymphocyte_count	monocyte_count	granulocyte_count	thrombocyte_count	lymphocyte_concentration_sqrt	monocyte_concentration_sqrt	granulocyte_concentration_sqrt	thrombocyte_concentration_sqrt	SMR_1	SMR_2	SMR_3	MMR_1	MMR_2	MMR_3	SMR_mean	MMR_mean	AS	SMR_std	MMR_std	AS_std	UTT_trial	UTT_temperature	UTT_rank	UTT_degree_sec	UTT_degree_sec_centered
27	july	mustoja	62	2.25	5.34	0.64	0.119850187265918	1.0189761922	1.00944350619537	0.3659784872	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.71276456866713e-07	3.70337326334862e-07	3.56300067718094e-07	9.52419671385952e-07	9.14336130979352e-07	9.38510900107019e-07	3.6597128363989e-07	9.35088900824108e-07	5.69117617184218e-07	1.63442151226504e-07	4.19660540696243e-07	2.55870799528792e-07	NA	NA	NA	NA	NA
28	july	mustoja	62	2.75	6.29	1.26	0.200317965023847	0.987395558	0.993677793854728	0.229020979	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.09067076007327e-07	4.01309643850057e-07	NA	7.8693795974863e-07	9.65787496055136e-07	9.39862517397862e-07	4.05188359928692e-07	8.97529324400543e-07	4.92340964471851e-07	1.52364645801937e-07	3.49167751977201e-07	1.93916686775329e-07	NA	NA	NA	NA	NA
29	september	vainupea	59	2.4	5.393	2.724	0.505099202670128	3.1904711574	1.7861890038291	0.1929824561	0.0157894737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	september	vainupea	69.5	3.15	5.865	0.88	0.150042625745951	0.1351641876	0.36764682454769	0.3037735849	0.0132075472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	30.3	10	11799.9964824278	1868.49754885465
31	september	vainupea	69	3.05	5.857	0.706	0.120539525354277	0.250676139	0.500675682453222	0.2723735409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	30	8	11031.4519037584	1099.95297018525
32	september	vainupea	51	1.2	3.926	1.692	0.430973000509424	7.0272332724	2.65089291982909	0.0953846154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	27.8	1	6390.3600187825	-3541.13891479065
33	september	vainupea	65	2.45	5.685	0.587	0.10325417766051	0.0054488416	0.0738162692094365	0.2882882883	0.0018018018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	30	7	11031.4519037584	1099.95297018525
34	september	vainupea	60	2.2	4.808	2.691	0.559692179700499	4.0891603587	2.02216724300934	0.1553827501	0.024429324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	28.1	2	7032.6075119308	-2898.89142164235
35	september	vainupea	60	2	5.266	0.891	0.169198632738321	0.0154559985	0.124322156110647	0.2930728242	0.0177619893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	30.1	9	11299.9326531461	1368.43371957295
36	september	vainupea	64.5	2.95	5.413	3.567	0.658969148346573	2.9990229075	1.73176872228944	0.1762282955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	28.9	3	8430.44443352	-1501.05450005315
37	september	vainupea	56	1.55	4.006	1.581	0.394658012980529	1.9982812055	1.41360574613292	0.1737528345	0.033824641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	29.2	4	9111.1156537637	-820.383279809446
38	september	vainupea	62.8	2.8	5.714	0.736	0.128806440322016	1.1452935821	1.07018390106561	0.2178283964	NA	82	4	32	10	4.22633748117682	0.933441795507358	2.6401720937848	1.47590106850019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	30.3	11	12067.7115997265	2136.21266615335
39	september	vainupea	68	3.3	6.125	2.742	0.447673469387755	2.2331052768	1.49435781417972	0.2362637363	NA	184	4	103	188	6.59336996377422	0.972139365111814	4.9330685013387	6.66465171065976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	29.8	5	10347.0640853371	415.565151763954
40	september	vainupea	64	2.6	5.808	1.144	0.196969696969697	2.8889320615	1.6996858714186	0.387037037	NA	22	7	131	48	2.91801556095919	1.64598276388302	7.12052328463295	4.31019463319233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	30	9	9959.5494724887	991.017692009013
41	september	vainupea	63	2.65	5.726	1.431	0.249912679008034	0.4418459585	0.664714945296102	0.318275154	NA	91	7	47	1	5.38173197158684	1.49262389033541	3.86767788705316	0.564158802111604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	29.9	7	9734.3426341365	765.810853656812
42	september	vainupea	57	1.8	5.063	1.579	0.311870432549872	0.1973044273	0.444189629887957	0.2689530686	0.0270758123	171	0	146	302	6.78166459879873	0	6.26635045425964	9.01242623920995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	29	3	8016.8096034012	-951.722177078487
43	september	vainupea	67.5	2.8	5.622	0.865	0.153859836357168	0.0584434997	0.241750904238226	0.2507665094	0.0109375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	29.9	8	9734.3426341365	765.810853656812
44	september	vainupea	57.5	2	4.802	2.723	0.567055393586006	1.0215253741	1.01070538442219	0.2744821092	0.0229217111	114	3	197	440	5.59383235794567	0.907439434673191	7.35343290663619	10.9896373028413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	29.3	4	8618.6218406818	-349.909939797886
45	september	vainupea	61	2.5	5.469	2.248	0.411044066556957	0.7894758443	0.888524532188054	0.279467713	0.0404347579	267	6	219	34	8.63816412040197	1.29491554859767	7.82326205281403	3.08251557043918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	29.5	5	8997.6072012334	29.0754207537138
46	september	vainupea	59	2.35	5.017	2.819	0.561889575443492	2.329484498	1.5262648846121	0.2201213332	NA	98	3	302	145	4.6445549467737	0.812627835851074	8.15332095691075	5.64956576331314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	28.7	1	7209.6080225103	-1758.92375796939
47	september	vainupea	63.5	2.65	5.604	2.158	0.385082084225553	0.6990106361	0.836068559449523	0.3760964912	0.0221491228	190	1	155	208	8.45330310162838	0.613267063521269	7.63511336759318	8.84466337231667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_01	29.9	6	10704.3520231533	772.853089580154
48	september	vainupea	67	2.95	6.123	1.06	0.173117752735587	0.1618965584	0.402363714069746	0.2909090909	NA	202	7	100	135	7.66574434492829	1.42701213600305	5.39359889962166	6.2667956143072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_03	29.7	6	9477.3728352491	508.841054769413
49	september	vainupea	52	1.35	4.016	2.01	0.500498007968127	1.7799036724	1.33413030562985	0.3018803419	0.0326029526	47	1	182	181	3.76674608505803	0.549436385671717	7.41230208678788	7.39191057061028	2.27556819389359e-07	2.20464942368261e-07	2.31504953640684e-07	6.4385445446435e-07	6.99960793748173e-07	7.26645516090478e-07	2.26508905132768e-07	6.90153588101e-07	4.63644682968232e-07	1.56722770955738e-07	4.45625226535641e-07	2.91942833411632e-07	utt_04	30.1	7	10535.4435481364	1053.43050591111
